Isolation	isolation	NOUN	O
and	and	CCONJ	O
characterization	characterization	NOUN	O
of	of	ADP	O
MAT	MAT	PROPN	O
genes	gene	NOUN	O
in	in	ADP	O
the	the	DET	O
symbiotic	symbiotic	ADJ	O
ascomycete	ascomycete	ADJ	O
Tuber	Tuber	PROPN	O
melanosporum	melanosporum	NOUN	O
.	.	PUNCT	O

The	the	DET	O
genome	genome	NOUN	O
of	of	ADP	O
Tuber	Tuber	PROPN	O
melanosporum	melanosporum	NOUN	O
has	have	VERB	O
recently	recently	ADV	O
been	be	VERB	O
sequenced	sequence	VERB	O
.	.	PUNCT	O

Here	here	ADV	O
,	,	PUNCT	O
we	-PRON-	PRON	O
used	use	VERB	O
this	this	DET	O
information	information	NOUN	O
to	to	PART	O
identify	identify	VERB	O
genes	gene	NOUN	O
involved	involve	VERB	O
in	in	ADP	O
the	the	DET	O
reproductive	reproductive	ADJ	O
processes	process	NOUN	O
of	of	ADP	O
this	this	DET	O
edible	edible	ADJ	O
fungus	fungus	NOUN	O
.	.	PUNCT	O

The	the	DET	O
sequenced	sequenced	ADJ	O
strain	strain	NOUN	O
(	(	PUNCT	O
Mel28	mel28	NOUN	O
)	)	PUNCT	O
possesses	possess	VERB	O
only	only	ADV	O
one	one	NUM	O
of	of	ADP	O
the	the	DET	O
two	two	NUM	O
master	master	NOUN	O
genes	gene	NOUN	O
required	require	VERB	O
for	for	ADP	O
mating	mating	NOUN	O
,	,	PUNCT	O
that	that	ADV	O
is	is	ADV	O
,	,	PUNCT	O
the	the	DET	O
gene	gene	NOUN	O
that	that	ADJ	O
codes	code	NOUN	O
for	for	ADP	O
the	the	DET	O
high	high	ADJ	O
mobility	mobility	NOUN	O
group	group	NOUN	O
(	(	PUNCT	O
HMG	hmg	NOUN	O
)	)	PUNCT	O
transcription	transcription	NOUN	O
factor	factor	NOUN	O
(	(	PUNCT	O
MAT1	MAT1	PROPN	O
-	-	PUNCT	O
2	2	NUM	O
-	-	SYM	O
1	1	NUM	O
)	)	PUNCT	O
,	,	PUNCT	O
whereas	whereas	ADP	O
it	-PRON-	PRON	O
lacks	lack	VERB	O
the	the	DET	O
gene	gene	NOUN	O
that	that	ADJ	O
codes	code	NOUN	O
for	for	ADP	O
the	the	DET	O
protein	protein	NOUN	O
containing	contain	VERB	O
