Isolation	isolation	NOUN
and	and	CCONJ
characterization	characterization	NOUN
of	of	ADP
MAT	MAT	PROPN
genes	gene	NOUN
in	in	ADP
the	the	DET
symbiotic	symbiotic	ADJ
ascomycete	ascomycete	ADJ
Tuber	Tuber	PROPN
melanosporum	melanosporum	NOUN
.	.	PUNCT

The	the	DET
genome	genome	NOUN
of	of	ADP
Tuber	Tuber	PROPN
melanosporum	melanosporum	NOUN
has	have	VERB
recently	recently	ADV
been	be	VERB
sequenced	sequence	VERB
.	.	PUNCT

Here	here	ADV
","	","	PUNCT
we	-PRON-	PRON
used	use	VERB
this	this	DET
information	information	NOUN
to	to	PART
identify	identify	VERB
genes	gene	NOUN
involved	involve	VERB
in	in	ADP
the	the	DET
reproductive	reproductive	ADJ
processes	process	NOUN
of	of	ADP
this	this	DET
edible	edible	ADJ
fungus	fungus	NOUN
.	.	PUNCT

The	the	DET
sequenced	sequenced	ADJ
strain	strain	NOUN
(	(	PUNCT
Mel28	mel28	NOUN
)	)	PUNCT
possesses	possess	VERB
only	only	ADV
one	one	NUM
of	of	ADP
the	the	DET
two	two	NUM
master	master	NOUN
genes	gene	NOUN
required	require	VERB
for	for	ADP
mating	mating	NOUN
","	","	PUNCT
that	that	ADV
is	is	ADV
","	","	PUNCT
the	the	DET
gene	gene	NOUN
that	that	ADJ
codes	code	NOUN
for	for	ADP
the	the	DET
high	high	ADJ
mobility	mobility	NOUN
group	group	NOUN
(	(	PUNCT
HMG	hmg	NOUN
)	)	PUNCT
transcription	transcription	NOUN
factor	factor	NOUN
(	(	PUNCT
MAT1	MAT1	PROPN
-	-	PUNCT
2	2	NUM
-	-	SYM
1	1	NUM
)	)	PUNCT
","	","	PUNCT
whereas	whereas	ADP
it	-PRON-	PRON
lacks	lack	VERB
the	the	DET
gene	gene	NOUN
that	that	ADJ
codes	code	NOUN
for	for	ADP
the	the	DET
protein	protein	NOUN
containing	contain	VERB
the	the	DET
alpha	alpha	NOUN
-	-	PUNCT
box-	box-	NOUN
domain	domain	NOUN
(	(	PUNCT
MAT1	MAT1	PROPN
-	-	PUNCT
1	1	NUM
-	-	SYM
1	1	NUM
)	)	PUNCT
","	","	PUNCT
suggesting	suggest	VERB
that	that	ADP
this	this	DET
fungus	fungus	NOUN
is	be	VERB
heterothallic	heterothallic	ADJ
.	.	PUNCT

A	a	DET
PCR	pcr	NOUN
-	-	PUNCT
based	base	VERB
approach	approach	NOUN
was	be	VERB
initially	initially	ADV
employed	employ	VERB
to	to	PART
screen	screen	VERB
truffles	truffle	NOUN
for	for	ADP
the	the	DET
presence	presence	NOUN
of	of	ADP
the	the	DET
MAT1	MAT1	PROPN
-	-	PUNCT
2	2	NUM
-	-	SYM
1	1	NUM
gene	gene	NOUN
and	and	CCONJ
amplify	amplify	VERB
the	the	DET
conserved	conserved	ADJ
regions	region	NOUN
flanking	flank	VERB
the	the	DET
mating	mating	NOUN
type	type	NOUN
(	(	PUNCT
MAT	MAT	PROPN
)	)	PUNCT
locus	locus	NOUN
.	.	PUNCT

The	the	DET
MAT1	MAT1	PROPN
-	-	PUNCT
1	1	NUM
-	-	PUNCT
1	1	NUM
gene	gene	NOUN
was	be	VERB
finally	finally	ADV
identified	identify	VERB
using	use	VERB
primers	primer	NOUN
designed	design	VERB
from	from	ADP
the	the	DET
conserved	conserved	ADJ
regions	region	NOUN
of	of	ADP
strains	strain	NOUN
that	that	ADJ
lack	lack	VERB
the	the	DET
MAT1	MAT1	PROPN
-	-	PUNCT
2	2	NUM
-	-	SYM
1	1	NUM
gene	gene	NOUN
.	.	PUNCT

Mating	mating	NOUN
type	type	NOUN
-	-	PUNCT
specific	specific	ADJ
primer	primer	NOUN
pairs	pair	NOUN
were	be	VERB
developed	develop	VERB
to	to	PART
screen	screen	VERB
asci	ascus	NOUN
and	and	CCONJ
gleba	gleba	ADJ
from	from	ADP
truffles	truffle	NOUN
of	of	ADP
different	different	ADJ
origins	origin	NOUN
and	and	CCONJ
to	to	PART
genotype	genotype	VERB
single	single	ADJ
ascospores	ascospore	NOUN
within	within	ADP
the	the	DET
asci	asci	NOUN
.	.	PUNCT

These	these	DET
analyses	analysis	NOUN
provided	provide	VERB
definitive	definitive	ADJ
evidence	evidence	NOUN
that	that	ADP
T.	T.	PROPN
melanosporum	melanosporum	NOUN
is	be	VERB
a	a	DET
heterothallic	heterothallic	ADJ
species	specie	NOUN
with	with	ADP
a	a	DET
MAT	MAT	PROPN
locus	locus	NOUN
that	that	ADJ
is	be	VERB
organized	organize	VERB
similarly	similarly	ADV
to	to	ADP
those	those	DET
of	of	ADP
ancient	ancient	ADJ
fungal	fungal	ADJ
lineages	lineage	NOUN
.	.	PUNCT

A	a	DET
greater	great	ADJ
understanding	understanding	NOUN
of	of	ADP
the	the	DET
reproductive	reproductive	ADJ
mechanisms	mechanism	NOUN
that	that	ADJ
exist	exist	VERB
in	in	ADP
Tuber	Tuber	PROPN
spp	spp	NOUN
.	.	PUNCT

allows	allow	VERB
for	for	ADP
optimization	optimization	NOUN
of	of	ADP
truffle	truffle	NOUN
plantation	plantation	NOUN
