Abendländischer Lebensbaum	Thuja occidentalis
Afrikanische Tamariske	Tamarix africana
Afrikanischer Butterbaum	Butyrospermum parkii
Afrikanischer Mahagonibaum	Khaya senegalensis
Afzelia	Afzelia africana
Ahornblättriger Flaschenbaum	Brachychiton acerifolius
Ährige Felsenbirne	Amelanchier spicata
Ährige Scheinhasel	Corylopsis spicata
Aleppo-Kiefer	Pinus halepensis
Alexandrinischer Lorbeer	Danae racemosa
Algerische Eiche	Quercus canariensis
Alpen-Goldregen	Laburnum alpinum
Alpen-Heckenkirsche	Lonicera alpigena
Amerikanische Buche	Fagus grandifolia
Amerikanische Eberesche	Sorbus americana
Amerikanische Hainbuche	Carpinus caroliniana
Amerikanische Heidelbeere	Vaccinium corymbosum
Amerikanische Klettertrompete	Campsis radicans
Amerikanische Linde	Tilia americana
Amerikanische Reif-Weide	Salix irrorata
Amerikanischer Erdbeerbaum	Arbutus menziesii
Amerikanischer Schlangenhaut-Ahorn	Acer pensylvanicum
Amerikanisches Gelbholz	Cladrastis kentukea
Amur-Korkbaum	Phellodendron amurense
Amur-Trauben-Kirsche	Prunus maackii
Andentanne	Araucaria araucana
Aprikose	Prunus armeniaca
Arganbaum	Argania spinosa
Arizona-Zypresse	Cupressus arizonica
Armblütige Scheinhasel	Corylopsis pauciflora
Arznei-Magnolie	Magnolia officinalis
Atlas-Zeder	Cedrus atlantica
Australische Silbereiche	Grevillea robusta
Avocado	Persea americana
Babylonische Trauer-Weide	Salix babylonica
Balearen-Johanniskraut	Hypericum balearicum
Balsam-Pappel	Populus balsamifera
Balsam-Tanne	Abies balsamea
Banks Rose	Rosa banksiae
Banks-Kiefer	Pinus banksiana
Barringtonia asiatica	Barringtonia asiatica
Baum-Anemone	Carpenteria californica
Baum-Felsenbirne	Amelanchier arborea
Baum-Hasel	Corylus colurna
Baum-Heide	Erica arborea
Behaarte Alpenrose	Rhododendron hirsutum
Behaarte Spatzenzunge	Thymelaea hirsuta
Beinwellblättrige Zistrose	Cistus symphytifolius
Berg-Ahorn	Acer pseudoplatanus
Berg-Ahorn 'Leopoldii'	Acer pseudoplatanus 'Leopoldii'
Berg-Bohnenkraut	Satureja montana
Berg-Kiefer	Pinus mugo
Berg-Föhre	Pinus mugo
Berg-Kirsche	Prunus sargentii
Berg-Schneeglöckchenbaum	Halesia monticola
Berg-Ulme	Ulmus glabra
Berg-Waldrebe	Clematis montana
