Aargauer Gold-Hahnenfuß	Ranunculus argoviensis
Aasblume	Stapelia gigantea
Abbiskraut	Succisa pratensis
Abbiskraut	Succisa pratensis Moench
Abbiss-Pippau	Crepis praemorsa
Abbisskraut	Succisa pratensis
Abbisskraut	Succisa pratensis Moench
Abelie	Abelia chinensis
Abelie	Abelia x grandiflora
Abendländischer Lebensbaum	Thuja occidentalis
Abendländischer Lebensbaum	Thuja occidentalis 'Smaragd'
abessinische Wolfsmilch	Euphorbia abyssinica
abessinischer Kohl	Brassica carinata
abessinischer Meerkohl	Crambe hispanica
abessinischer Meerkohl	Crambe hispanica subsp. abyssinica
Abführender Geißklee	Cytisus purgans
Abgebiss-Pippau	Crepis praemorsa
Abgebiss-Pippau	Crepis praemorsa (L.) Walther
Abgebissener Pippau	Crepis praemorsa
Abgebissener Pippau	Crepis praemorsa (L.) Tausch
Abgebissener Pippau	Crepis praemorsa (L.) Walther
Abgebissener Weichhaariger Pippau	Crepis mollis
Abgebissener Weichhaariger Pippau	Crepis mollis subsp. succisifolia
Abgebisspippau	Crepis praemorsa
Abgebisspippau	Crepis praemorsa (L.) Walther
Abgemagertes Habichtskraut	Hieracium macilentum
Abgemagertes Habichtskraut	Hieracium macilentum Fr.
Abgestutzter Gold-Hahnenfuß	Ranunculus basitruncatus
Abgestutzter Gold-Hahnenfuß	Ranunculus basitruncatus Borch.-Kolb
Abgestutzter Goldhahnenfuß	Ranunculus basitruncatus
Abgestutzter Goldhahnenfuß	Ranunculus basitruncatus Borch.-Kolb
Absinth	Artemisia absinthium
Absinth	Artemisia absinthium L.
Abstehender Klee	Trifolium patens
Abstehender Klee	Trifolium patens Schreb.
Abstehendhüllspitziger Löwenzahn	Taraxacum subcyanolepis
Açai-Palme	Euterpe oleracea
Açai-Palme	Euterpe oleracea Mart.
Acajubaum	Anacardium occidentale
Acanthaceae	Akanthusgewächse
Achselblütige Brombeere	Rubus axillaris
Achselblütige Brombeere	Rubus axillaris Lej.
Acker- oder Hasen-Klee	Trifolium arvense
Acker- oder Hasen-Klee	Trifolium arvense L.
Acker-Ampfer-Knöterich	Persicaria lapathifolia
